2022/5/23 5:40 UPDATE,,
,,
DATE,TIME,���(��kW)
2022/1/31,10:00,4483
2022/1/31,11:00,4384
2022/1/31,12:00,4181
2022/1/31,13:00,4183
2022/1/31,14:00,4116
2022/1/31,15:00,4141
2022/1/31,16:00,4344
2022/1/31,17:00,4571
2022/1/31,18:00,4614
2022/1/31,19:00,4529
2022/1/31,20:00,4402
2022/1/31,21:00,4179
2022/1/31,22:00,3901
2022/1/31,23:00,3647
2022/2/1,0:00,3357
2022/2/1,1:00,3225
2022/2/1,2:00,3160
2022/2/1,3:00,3137
2022/2/1,4:00,3183
2022/2/1,5:00,3431
2022/2/1,6:00,3947
2022/2/1,7:00,4371
2022/2/1,8:00,4593
2022/2/1,9:00,4609
2022/2/1,10:00,4460
2022/2/1,11:00,4330
2022/2/1,12:00,4113
2022/2/1,13:00,4130
2022/2/1,14:00,4092
2022/2/1,15:00,4107
2022/2/1,16:00,4247
2022/2/1,17:00,4438
2022/2/1,18:00,4491
2022/2/1,19:00,4395
2022/2/1,20:00,4265
2022/2/1,21:00,4039
2022/2/1,22:00,3784
2022/2/1,23:00,3527
2022/2/2,0:00,3258
2022/2/2,1:00,3135
2022/2/2,2:00,3109
2022/2/2,3:00,3083
2022/2/2,4:00,3128
2022/2/2,5:00,3355
2022/2/2,6:00,3829
2022/2/2,7:00,4232
2022/2/2,8:00,4461
2022/2/2,9:00,4497
2022/2/2,10:00,4388
2022/2/2,11:00,4298
2022/2/2,12:00,4106
2022/2/2,13:00,4140
2022/2/2,14:00,4106
2022/2/2,15:00,4130
2022/2/2,16:00,4289
2022/2/2,17:00,4486
2022/2/2,18:00,4551
2022/2/2,19:00,4465
2022/2/2,20:00,4354
2022/2/2,21:00,4143
2022/2/2,22:00,3896
2022/2/2,23:00,3646
2022/2/3,0:00,3362
2022/2/3,1:00,3223
2022/2/3,2:00,3178
2022/2/3,3:00,3157
2022/2/3,4:00,3214
2022/2/3,5:00,3471
2022/2/3,6:00,3977
2022/2/3,7:00,4421
2022/2/3,8:00,4793
2022/2/3,9:00,4870
2022/2/3,10:00,4671
2022/2/3,11:00,4433
2022/2/3,12:00,4175
2022/2/3,13:00,4156
2022/2/3,14:00,4057
2022/2/3,15:00,4041
2022/2/3,16:00,4192
2022/2/3,17:00,4400
2022/2/3,18:00,4445
2022/2/3,19:00,4344
2022/2/3,20:00,4221
2022/2/3,21:00,4009
2022/2/3,22:00,3745
2022/2/3,23:00,3495
2022/2/4,0:00,3210
2022/2/4,1:00,3088
2022/2/4,2:00,3068
2022/2/4,3:00,3055
2022/2/4,4:00,3108
2022/2/4,5:00,3326
2022/2/4,6:00,3801
2022/2/4,7:00,4257
2022/2/4,8:00,4658
2022/2/4,9:00,4851
2022/2/4,10:00,4701
2022/2/4,11:00,4565
2022/2/4,12:00,4360
2022/2/4,13:00,4341
2022/2/4,14:00,4280
2022/2/4,15:00,4269
2022/2/4,16:00,4381
2022/2/4,17:00,4529
2022/2/4,18:00,4553
2022/2/4,19:00,4450
2022/2/4,20:00,4330
2022/2/4,21:00,4106
2022/2/4,22:00,3886
2022/2/4,23:00,3672
2022/2/5,0:00,3394
2022/2/5,1:00,3245
2022/2/5,2:00,3176
2022/2/5,3:00,3129
2022/2/5,4:00,3119
2022/2/5,5:00,3203
2022/2/5,6:00,3458
2022/2/5,7:00,3697
2022/2/5,8:00,3860
2022/2/5,9:00,3909
2022/2/5,10:00,3865
2022/2/5,11:00,3813
2022/2/5,12:00,3761
2022/2/5,13:00,3714
2022/2/5,14:00,3703
2022/2/5,15:00,3788
2022/2/5,16:00,3961
2022/2/5,17:00,4250
2022/2/5,18:00,4389
2022/2/5,19:00,4368
2022/2/5,20:00,4283
2022/2/5,21:00,4098
2022/2/5,22:00,3882
2022/2/5,23:00,3682
2022/2/6,0:00,3408
2022/2/6,1:00,3248
2022/2/6,2:00,3167
2022/2/6,3:00,3118
2022/2/6,4:00,3103
2022/2/6,5:00,3188
2022/2/6,6:00,3420
2022/2/6,7:00,3668
2022/2/6,8:00,3799
2022/2/6,9:00,3829
2022/2/6,10:00,3748
2022/2/6,11:00,3673
2022/2/6,12:00,3627
2022/2/6,13:00,3610
2022/2/6,14:00,3590
2022/2/6,15:00,3651
2022/2/6,16:00,3853
2022/2/6,17:00,4224
2022/2/6,18:00,4423
2022/2/6,19:00,4414
2022/2/6,20:00,4336
2022/2/6,21:00,4151
2022/2/6,22:00,3859
2022/2/6,23:00,3617
2022/2/7,0:00,3341
2022/2/7,1:00,3196
2022/2/7,2:00,3135
2022/2/7,3:00,3107
2022/2/7,4:00,3162
2022/2/7,5:00,3431
2022/2/7,6:00,3990
2022/2/7,7:00,4450
2022/2/7,8:00,4698
2022/2/7,9:00,4783
2022/2/7,10:00,4649
2022/2/7,11:00,4537
2022/2/7,12:00,4321
2022/2/7,13:00,4318
2022/2/7,14:00,4247
2022/2/7,15:00,4251
2022/2/7,16:00,4435
